artista,música,plataforma,url
Lil Chainz,Red flags de uma garota,YouTube,https://youtu.be/bTPS2htSO00
Lil Chainz,Odeio finais,YouTube,https://youtu.be/bb8k3H4VSi0
Lil Chainz,Dores de um astro,YouTube,https://youtu.be/YCh-UB9B9XU
Lil Chainz,Não temas,YouTube,https://youtu.be/OSlVb4LrS0w
Lil Chainz,Lil Flow Natalino 3,YouTube,https://www.youtube.com/watch?v=kTGOMz-Fg0M
Lil Chainz,Red flags de uma garota,YouTube,https://www.youtube.com/watch?v=bTPS2htSO00
Lil Chainz,Odeio finais,YouTube,https://www.youtube.com/watch?v=bb8k3H4VSi0
Lil Chainz,Dores de um astro,YouTube,https://www.youtube.com/watch?v=YCh-UB9B9XU
Lil Chainz,Não temas,YouTube,https://www.youtube.com/watch?v=OSlVb4LrS0w
Lil Chainz,Final Cruel,YouTube,https://www.youtube.com/watch?v=lEVLUDOQ6ok
Lil Chainz,Play Station,YouTube,https://www.youtube.com/watch?v=KWSHt-O-F6E
Lil Chainz,Saudade,YouTube,https://www.youtube.com/watch?v=Csh4Yf_gD4M
Lil Chainz,Inocente,YouTube,https://www.youtube.com/watch?v=jHC8EbqAqvo
Lil Chainz,Amar é deixar ir,YouTube,https://www.youtube.com/watch?v=KMd-lWH2e48
Lil Chainz,Apunhalado,YouTube,https://www.youtube.com/watch?v=OS9a7DOYIHs
Lil Chainz,Momento,YouTube,https://www.youtube.com/watch?v=zlfuUg9fzjo
Lil Chainz,Subestimado,YouTube,https://www.youtube.com/watch?v=qT6oAQljJzo
Lil Chainz,Pacto de Rua,YouTube,https://www.youtube.com/watch?v=XfrxqyOBtTM
Lil Chainz,Ligação,YouTube,https://www.youtube.com/watch?v=PIYKnfisnAY
Lil Chainz,Dia Z,YouTube,https://www.youtube.com/watch?v=oopxlcYC8aA
Lil Chainz,Quadrada,YouTube,https://www.youtube.com/watch?v=KwAhqicgAe4
Lil Chainz,Esperança do meu Bairro,YouTube,https://www.youtube.com/watch?v=MkkF44budfc
Lil Chainz,GRAV FM,YouTube,https://www.youtube.com/watch?v=2mtDO_XS9G4
Lil Chainz,Flow Natalino 2,YouTube,https://www.youtube.com/watch?v=-10tNo8JHrQ
Lil Chainz,Ninho de Cobra,YouTube,https://www.youtube.com/watch?v=SntbHzpIwoE
Lil Chainz,Daqui de Cima,YouTube,https://www.youtube.com/watch?v=J2XjuSUsIoQ
Lil Chainz,Quando a sdd apertar,YouTube,https://www.youtube.com/watch?v=tziOdVip5Ak
Lil Chainz,Preciso melhorar tanto em mim,YouTube,https://www.youtube.com/watch?v=5ibm_6EEdXg
Lil Chainz,Por todas as vezes,YouTube,https://www.youtube.com/watch?v=0pyqM9VM504
Lil Chainz,Jogo de Azar,YouTube,https://www.youtube.com/watch?v=IzXi9Qj7vvc
Lil Chainz,MULTIPLICA,YouTube,https://www.youtube.com/watch?v=x_9nu2FLpNw
Lil Chainz,QUEM FAZ A ONDA?,YouTube,https://www.youtube.com/watch?v=g2dlycgAbec
Lil Chainz,MULTIPLICA,YouTube,https://www.youtube.com/watch?v=I4jx6EAj2Ig
Lil Chainz,HARDMODE!,YouTube,https://www.youtube.com/watch?v=I5yyRqfq1xI
Lil Chainz,CAÇA ÀS BRUXAS,YouTube,https://www.youtube.com/watch?v=_8Ov5Dtsu9U
Lil Chainz,TEMPORADA DE CAÇA,YouTube,https://www.youtube.com/watch?v=9cBGa3VxVW4
Lil Chainz,BEM-VINDO AO HARDMODE (INTRO),YouTube,https://www.youtube.com/watch?v=PtiU1UQtT3w
Lil Chainz,CAÇA ÀS BRUXAS,YouTube,https://www.youtube.com/watch?v=GKiapoYZtxs
Lil Chainz,Drink Azul 2,YouTube,https://www.youtube.com/watch?v=S8fJk9pne8Y
Lil Chainz,Flow Natalino,YouTube,https://www.youtube.com/watch?v=V32yj6mmV24
Lil Chainz,CORAÇÃO VAZIO,YouTube,https://www.youtube.com/watch?v=QOWGDfFhukc
Lil Chainz,Capital Girando 2,YouTube,https://www.youtube.com/watch?v=3mpJ6EUbsFk
Lil Chainz,FAÇO ACONTECER,YouTube,https://www.youtube.com/watch?v=GPKcW_QJ5BA
Lil Chainz,LSD,YouTube,https://www.youtube.com/watch?v=UIVEv-UGdWs
Lil Chainz,REBOLA BB,YouTube,https://www.youtube.com/watch?v=wRd2QF465qY
Lil Chainz,BLACKPINK,YouTube,https://www.youtube.com/watch?v=8A8Rssqty34
Lil Chainz,AMERICAN PIE,YouTube,https://www.youtube.com/watch?v=8a-Z2i5b114
Lil Chainz,DEBILOIDE,YouTube,https://www.youtube.com/watch?v=nWpIxZqtuFs
Lil Chainz,JERSEY CLUB,YouTube,https://www.youtube.com/watch?v=9egGK1E8SyA
Lil Chainz,FORBES,YouTube,https://www.youtube.com/watch?v=eruktG17X70
Lil Chainz,PACMAN,YouTube,https://www.youtube.com/watch?v=P6yg7n4NI7A
Lil Chainz,Cascavel,YouTube,https://www.youtube.com/watch?v=NoR64RuFRYM
Lil Chainz,Nunca Chore Por Vadias,YouTube,https://www.youtube.com/watch?v=uqJIR4stoKY
Lil Chainz,PUTARIA E MUITA RIMA,YouTube,https://www.youtube.com/watch?v=zpw65uKI1vk
Lil Chainz,Abracadabra,YouTube,https://www.youtube.com/watch?v=MdpIQa8x-rI
Lil Chainz,JACKIE CHAN,YouTube,https://www.youtube.com/watch?v=MjT3Qu63z_Y
Lil Chainz,Flow Mexicano,YouTube,https://www.youtube.com/watch?v=UGJZP0Stwe4
Lil Chainz,PROJETO X,YouTube,https://www.youtube.com/watch?v=pP9_-edC3P0
Lil Chainz,Senpai,YouTube,https://www.youtube.com/watch?v=pu8kWICVxlY
Lil Chainz,Rei dos Piratas,YouTube,https://www.youtube.com/watch?v=INy_AgVIaKU
Lil Chainz,Intacto,YouTube,https://www.youtube.com/watch?v=0Hz3ZYNIfg8
Lil Chainz,Cosplay de Amor da Minha Vida,YouTube,https://www.youtube.com/watch?v=kh0jSg0PIi8
Lil Chainz,Saiyajin,YouTube,https://www.youtube.com/watch?v=Scy_26tv3nA
Lil Chainz,Tropa do Enguiça,YouTube,https://www.youtube.com/watch?v=YbQig7aKe9I
Lil Chainz,Líder da Toman,YouTube,https://www.youtube.com/watch?v=LmqjL7f8I5c
Lil Chainz,Maria Gasolina,YouTube,https://www.youtube.com/watch?v=o846krnxGoc
Lil Chainz,Tipo Billie Jean,YouTube,https://www.youtube.com/watch?v=U5Hai_K8BUA
Lil Chainz,Party,YouTube,https://www.youtube.com/watch?v=CJwayUDEpBE
Lil Chainz,Cilada,YouTube,https://www.youtube.com/watch?v=YdXXVlN84ok
Lil Chainz,Holofotes,YouTube,https://www.youtube.com/watch?v=fxKHRSgIOkk
Lil Chainz,Não escute se estiver com saudades,YouTube,https://www.youtube.com/watch?v=pLkM5M3gSxc
Lil Chainz,Jacaré de estimação,YouTube,https://www.youtube.com/watch?v=92FsFq5qCD4
Lil Chainz,Meu Corre,YouTube,https://www.youtube.com/watch?v=oPPwAG769WE
Lil Chainz,Amigo Talarico,YouTube,https://www.youtube.com/watch?v=Q5X1fFnRmYE
Lil Chainz,Faz calor,YouTube,https://www.youtube.com/watch?v=4xGzTbIxZNc
Lil Chainz,Capital Girando,YouTube,https://www.youtube.com/watch?v=siqA7wbVGSY
Lil Chainz,Amiga da Onça,YouTube,https://www.youtube.com/watch?v=gYD8GuntAYM
Lil Chainz,Drink Azul,YouTube,https://www.youtube.com/watch?v=7JuovgF3yYI
Lil Chainz,Sinto sua falta,YouTube,https://www.youtube.com/watch?v=OE5b5vo79zw
Lil Chainz,Eu ainda tô aqui,YouTube,https://www.youtube.com/watch?v=gGFnwAw_vnU
Lil Chainz,Não sei o que você viu em mim,YouTube,https://www.youtube.com/watch?v=F23bMH1LJ9E
Lil Chainz,Apaixonadin,YouTube,https://www.youtube.com/watch?v=3GSuJJr5OSQ
Lil Chainz,Eu te fiz sofrer,YouTube,https://www.youtube.com/watch?v=D9Fsa2XPa3A
Lil Chainz,Diário das minhas lamentações,YouTube,https://www.youtube.com/watch?v=4MuwKmcyA9g
Lil Chainz,Levo minha vida nesse corre,YouTube,https://www.youtube.com/watch?v=uEgBjiDp3-Q
Lil Chainz,Fiz essa pra você lembrar de mim,YouTube,https://www.youtube.com/watch?v=_0hwPO2SxS4
Lil Chainz,Música pra quem partiu,YouTube,https://www.youtube.com/watch?v=6FjQioSdIi0
Lil Chainz,Quando você vai entender,YouTube,https://www.youtube.com/watch?v=AMzu6vgqMmA
Lil Chainz,Trap Story,YouTube,https://www.youtube.com/watch?v=o3WklS0PpnM
Lil Chainz,Canção pra ela...,YouTube,https://www.youtube.com/watch?v=pffrlweHKVo
Lil Chainz,É facin fazer trap,YouTube,https://www.youtube.com/watch?v=suPue_LSzKQ
Lil Chainz,Musa de cinema,YouTube,https://www.youtube.com/watch?v=8hy3nl7Gw0Q
Lil Chainz,Prada,YouTube,https://www.youtube.com/watch?v=nlTAOJYdDDc
Lil Chainz,Não vou falar de amor,YouTube,https://www.youtube.com/watch?v=0sfMUKzt9Mo
Lil Chainz,Cada um pro seu lado,YouTube,https://www.youtube.com/watch?v=2zQOnmXnxVo
Lil Chainz,Espero que tu esteja lá,YouTube,https://www.youtube.com/watch?v=iFdBiIMdwRU
Lil Chainz,"Af, tô muito apaixonado",YouTube,https://www.youtube.com/watch?v=kXhatIWCSaU
Lil Chainz,Sinto Tanta Falta de Nós,YouTube,https://www.youtube.com/watch?v=qVEOBR7wpVY
Lil Chainz,Não Existe Final Feliz,YouTube,https://www.youtube.com/watch?v=zsuZ8IfirVY
Lil Chainz,Olhos de Lua,YouTube,https://www.youtube.com/watch?v=jIAZ0QA22fg
Lil Chainz,Confesso que sinto falta,YouTube Music,https://www.youtube.com/watch?v=sSCFeC3vo60
Lil Chainz,Você me iludiu,YouTube Music,https://www.youtube.com/watch?v=9LmZu_6tvU4
Lil Chainz,Não precisa pedir perdão,YouTube Music,https://www.youtube.com/watch?v=Ym9WAh5Dnyg
Lil Chainz,Se arrependeu de vacilar comigo?,YouTube Music,https://www.youtube.com/watch?v=fL4-ZIIUIik
Lil Chainz,Você tem muito ego,YouTube Music,https://www.youtube.com/watch?v=YWYqcrH5tr4
Lil Chainz,Amar é mó bom,YouTube Music,https://www.youtube.com/watch?v=gmR49GCKWEI
Lil Chainz,Você só quer biscoitar,YouTube Music,https://www.youtube.com/watch?v=MkHMDrtYgsI
Lil Chainz,Não sei se eu vou,YouTube Music,https://www.youtube.com/watch?v=4ZJZFJy47uY
Lil Chainz,Te bloqueei de tudo,YouTube Music,https://www.youtube.com/watch?v=eHV7ZO73Wa8
Lil Chainz,Low profile,YouTube Music,https://www.youtube.com/watch?v=i7z9gSVAwKc
Lil Chainz,Quando você me deixou,YouTube Music,https://www.youtube.com/watch?v=o8_WenDcKyc
Lil Chainz,Lembra daquele dia?,YouTube Music,https://www.youtube.com/watch?v=1zJAKsPXMAM
Lil Chainz,Amar quase me matou,YouTube Music,https://www.youtube.com/watch?v=fBu8-HHu-Ho
Lil Chainz,Nem sei mais amar,YouTube Music,https://www.youtube.com/watch?v=j1gywL81Nms
Lil Chainz,Quando você passa,YouTube Music,https://www.youtube.com/watch?v=R824YQ9Ut8s
Lil Chainz,Como esquecer ela?,YouTube Music,https://www.youtube.com/watch?v=VLoTlZEEfKU
Lil Chainz,Desse jeito não vai dar,YouTube Music,https://www.youtube.com/watch?v=S67tHQVRZ-Q
Lil Chainz,Promete nunca me deixar?,YouTube Music,https://www.youtube.com/watch?v=plgIKQD1tYA
Lil Chainz,Lembranças daquele verão (Interlúdio),YouTube Music,https://www.youtube.com/watch?v=53EqZmxLHXA
Lil Chainz,Insegurança,YouTube Music,https://www.youtube.com/watch?v=vt71YCUf0A8
Lil Chainz,Mais uma música pra ela,YouTube Music,https://www.youtube.com/watch?v=K9F04tmXGt8